"","datetime","country","shape"
"1192",2020-10-12,"us","changing"
"57697",2020-06-25,"us","changing"
"61362",2020-07-11,"us","changing"
"71350",2019-08-10,"us","changing"
"55175",2020-06-16,NA,"changing"
"75621",2020-08-20,"us","changing"
"61273",2020-07-11,NA,"changing"
"28031",2020-01-08,"us","changing"
"74343",2019-08-16,NA,"changing"
"14691",2020-11-27,"us","changing"
"71085",2020-07-09,"us","changing"
"13827",2020-11-22,"gb","changing"
"14046",2020-11-23,"gb","changing"
"16770",2020-11-05,"us","changing"
"83189",2020-09-15,"us","changing"
"83190",2020-09-15,"us","changing"
"78839",2020-08-31,"us","changing"
"56368",2020-06-21,"us","changing"
"30961",2020-02-02,"us","changing"
"75298",2020-08-19,"us","changing"
"904",2020-10-01,"us","changing"
"22758",2020-12-25,"us","changing"
"1460",2020-10-13,"us","changing"
"53144",2019-06-01,"us","changing"
"1620",2019-10-14,"us","changing"
"17046",2020-11-06,"us","changing"
"83470",2020-09-16,"us","changing"
"29417",2020-02-14,NA,"changing"
"45291",2020-04-07,"us","changing"
"87633",2020-09-03,"us","changing"
"23336",2020-12-28,"us","changing"
"40074",2019-04-01,"us","changing"
"38585",2020-03-04,"us","changing"
"68922",2020-07-04,NA,"changing"
"50160",2020-05-30,"us","changing"
"67231",2020-07-28,"us","changing"
"74423",2020-08-16,"us","changing"
"81475",2019-09-01,"us","changing"
"32356",2020-02-29,"us","changing"
"54494",2019-06-15,"us","changing"
"47324",2020-05-15,"gb","changing"
"48083",2020-05-19,"us","changing"
"82711",2019-09-15,"us","changing"
"7396",2020-10-06,"us","changing"
"14510",2020-11-26,"us","changing"
"3500",2020-10-20,"us","changing"
"18839",2020-12-10,"us","changing"
"51807",2020-06-10,"us","changing"
"15963",2020-01-14,"us","changing"
"21724",2020-12-02,"us","changing"
"17164",2020-11-06,"us","changing"
"52488",2019-06-01,"us","changing"
"82446",2019-09-14,"us","changing"
"40561",2020-04-13,NA,"changing"
"8365",2020-01-10,"gb","changing"
"1412",2020-10-13,NA,"changing"
"48356",2020-05-20,"us","changing"
"60116",2020-06-06,"us","changing"
"17572",2020-11-07,"us","changing"
"16952",2020-11-06,NA,"changing"
"78764",2020-08-31,"us","changing"
"6186",2020-10-30,"us","changing"
"17484",2020-01-17,"us","changing"
"17712",2020-11-08,"ca","changing"
"43594",2020-04-26,"us","changing"
"10106",2019-11-14,"us","changing"
"64849",2019-07-20,"ca","changing"
"77277",2020-08-25,"us","changing"
"66562",2020-07-25,"gb","changing"
"36573",2020-03-02,"de","changing"
"81693",2020-09-01,"us","changing"
"48653",2020-05-02,NA,"changing"
"4423",2020-10-23,"us","changing"
"39101",2020-03-07,"us","changing"
"88193",2020-09-06,"us","changing"
"48435",2020-05-21,"us","changing"
"59511",2020-06-03,"ca","changing"
"2465",2020-10-15,"us","changing"
"85727",2020-09-23,"us","changing"
"54829",2020-06-15,"us","changing"
"73410",2020-08-14,NA,"changing"
"84134",2020-09-19,NA,"changing"
"21097",2020-12-19,NA,"changing"
"20251",2019-12-15,"us","changing"
"64167",2020-07-17,"us","changing"
"8803",2020-11-11,"us","changing"
"2546",2020-10-16,"us","changing"
"6694",2020-10-03,"us","changing"
"48856",2020-05-22,"us","changing"
"39879",2020-04-11,"us","changing"
"77515",2020-08-26,"de","changing"
"55264",2020-06-16,"us","changing"
"1474",2020-10-13,"us","changing"
"76238",2020-08-02,"us","changing"
"79016",2020-08-03,"us","changing"
"88062",2020-09-05,"us","changing"
"34728",2020-03-13,"us","changing"
"44754",2020-04-04,NA,"changing"
"10545",2020-11-15,"us","changing"
"17132",2020-11-06,"us","changing"
"1362",2019-10-13,NA,"changing"
"45829",2020-05-10,"gb","changing"
"6530",2020-10-31,"us","changing"
"56149",2020-06-20,NA,"changing"
"28481",2020-02-10,"us","changing"
"60503",2020-06-08,"us","changing"
"20865",2020-12-18,"us","changing"
"36715",2020-03-22,NA,"changing"
"5201",2020-10-26,"us","changing"
"30847",2020-02-21,"us","changing"
"62106",2020-07-12,"us","changing"
"87204",2020-09-30,"us","changing"
"842",2020-10-01,"us","changing"
"39866",2020-04-11,"us","changing"
"70825",2019-07-08,NA,"changing"
"2338",2020-10-15,"us","changing"
"44951",2020-04-05,"us","changing"
"44952",2020-04-05,"us","changing"
"58053",2020-06-27,"us","changing"
"64071",2019-07-17,"us","changing"
"78",2019-10-10,"us","changing"
"39476",2020-03-09,"us","changing"
"63191",2019-07-15,"us","changing"
"43886",2019-04-28,"us","changing"
"15879",2020-01-13,"us","changing"
"48438",2020-05-21,"us","changing"
"48044",2020-05-19,"us","changing"
"50961",2020-05-05,"us","changing"
